,N_index,GE,BOE,AJRD,LCKM,NRPGRM,ORB
11/09/2017,94,-0.004198153,0.007580199,0.004905396,0.005216243,0.006917181,0.006116775
08/09/2017,95,-0.008326395,0.010452372,-0.031228785,0.001819084,0.005942754,-0.000925926
07/09/2017,96,-0.03611557,0.007203137,0.032959327,0.00298557,0.002261846,0.001855288
06/09/2017,97,0.006462036,-0.010042194,-0.019931271,-0.0024818,-0.010445033,-0.02
05/09/2017,98,-0.015115354,-0.013855948,-0.028380634,3.31E-05,-0.002827065,-0.007757532
01/09/2017,99,0.024032587,0.002795627,0.010799865,-0.010478405,-0.012416884,-0.006452769
31/08/2017,100,0.011120264,-0.003326957,0.015073655,-0.002970944,0.004427881,0.007039711
30/08/2017,101,-0.006546645,-0.000124745,0.041012839,-0.005971312,0.001071217,0.017166988
29/08/2017,102,-0.001225991,0.013955646,0.011909058,0.014920457,0.010526316,0.014718211
28/08/2017,103,-0.00081666,0.005468651,0.003985507,0.002675033,-0.005309472,0.001492677
25/08/2017,104,0.00781893,-0.011937673,-0.01744393,0.000660939,0.002941834,0.005534709
24/08/2017,105,-0.003690037,0.00273006,-0.001421969,-0.000792498,-0.008235772,0.002350729
23/08/2017,106,-0.008536585,-0.006923879,-0.00880902,-0.006430446,-0.007514112,-0.006446188
22/08/2017,107,0.004491629,0.017269179,0.026401447,0.009672718,0.019125887,0.014597156
21/08/2017,108,-0.002443992,-0.000381728,0.020671835,0.008957219,0.00033631,0.003710399
18/08/2017,109,-0.008080808,0.000764039,0.002590674,-0.007365138,-0.001939358,-0.004828631
17/08/2017,110,-0.013944223,-0.008417863,-0.010980966,-0.014323087,-0.006889144,-0.015014455
16/08/2017,111,-0.00159109,-0.00660618,0.001466276,-0.001306336,-0.004241351,-0.004825986
15/08/2017,112,-0.008675079,0.008517816,0.01037037,-0.004486638,-0.000957996,-0.008557232
14/08/2017,113,0.006349206,0.00966451,0.00409074,0.012609053,0.007872846,0.019703509
11/08/2017,114,-0.003952569,0.008588114,0.002236303,0.001648805,-0.004694142,0.006991686
10/08/2017,115,-0.015947102,-0.006103026,-0.017216117,-0.006454361,-0.009337239,-0.009081547
09/08/2017,116,0.005868545,-0.021670146,0.012235818,0.01706098,0.012156252,0.015980215
08/08/2017,117,-0.002731174,-0.003038755,-0.003325942,0.009927646,0.000890274,-0.012585705
07/08/2017,118,-0.005818464,0.010601153,-0.005878031,0.000505051,0.001262814,-0.000844595
04/08/2017,119,0.000776398,-0.002266527,0.142737196,0.003988912,0.001711437,0.00093932
03/08/2017,120,0.009404389,0.001260769,0.012324692,0.003800475,0.007308024,0.027606178
02/08/2017,121,0.003144654,-0.006222853,-0.006753905,0.007004955,0.008275393,0.006020587
01/08/2017,122,-0.006638032,-0.012455663,0.010234542,0.001780029,0.005738608,0.007829321
31/07/2017,123,0.003133568,0.004932234,-0.020467836,0.005922661,-0.003672851,-0.004190625
28/07/2017,124,-0.010081427,0.001120332,0.019157088,0.007913095,0.012808713,0.007461954
27/07/2017,125,0.007815553,0.032340972,-0.005924672,-0.005934104,-0.011748655,-0.010396424
26/07/2017,126,0.005896226,0.098795067,-0.009224319,6.90E-05,-0.000719561,-0.009146048
25/07/2017,127,0.000393236,0.001319634,0.004210526,-0.001550227,-0.004599088,0.006102286
24/07/2017,128,-0.018525666,0.000188555,0.022825151,0.004012175,-0.00011308,-9.69E-05
21/07/2017,129,-0.029224429,0.008845349,0.009126467,-0.001898712,0.002001737,0.008300781
20/07/2017,130,-0.009279881,-0.00284522,0.007884363,-0.003440328,-0.000566209,9.77E-05
19/07/2017,131,0.001859427,0.01267768,0.014215904,0.013529063,0.002573418,0.009066719
18/07/2017,132,0.002609993,-0.003636364,-0.005742049,-0.005892752,-0.002152487,-0.004024342
17/07/2017,133,0.001493652,0.002350007,0.004436557,0.001249436,-7.55E-05,-0.000490533
14/07/2017,134,-0.000373274,0.011055618,0.019448213,0.004777514,0.003676192,0.011210317
13/07/2017,135,0.007900677,-0.001017245,-0.011622709,0.001396843,-0.000378845,-0.002079002
12/07/2017,136,0.007581501,0.000824163,0.017280582,-0.000209483,0.005025891,0.000594354
11/07/2017,137,0.013056836,0.01132575,0.011034483,0.002976503,0.003285201,-0.001681171
10/07/2017,138,-0.004206501,0.007856896,-0.001835704,0.001297335,-0.000801557,-0.011824489
07/07/2017,139,-0.006081338,0.004417312,0.02156587,0.015091116,0.01177879,0.016792528
06/07/2017,140,-0.038025594,-0.001635201,-0.025582458,-0.00509915,-0.005148302,-0.006515301
05/07/2017,141,-0.003642987,0.016214311,0.028182245,0.012476696,0.010011641,0.015131777
03/07/2017,142,0.016290263,0.004247788,0.023557692,0.00471885,0.003856492,0.01453843
