,N_index,NYSE:EGL Open,NYSE:EGL High,NYSE:EGL Low,NYSE:EGL Close,NYSE:BA Open,NYSE:BA High,NYSE:BA Low,NYSE:BA Close,NYSE:TGI Open,NYSE:TGI High,NYSE:TGI Low,NYSE:TGI Close,NYSE:LMT Open,NYSE:LMT High,NYSE:LMT Low,NYSE:LMT Close,NYSE:NOC Open,NYSE:NOC High,NYSE:NOC Low,NYSE:NOC Close,NYSE:OA Open,NYSE:OA High,NYSE:OA Low,NYSE:OA Close
29-Mar-17,191,26.82,27.56,26.65,27.48,177.40,177.99,176.97,177.63,24.65,25.25,24.65,25.0,268.92,268.92,267.26,268.24,236.66,236.92,235.07,236.52,98.67,98.84,97.95,98.38
28-Mar-17,192,27.12,27.15,26.57,26.8,176.29,177.68,175.00,177.36,24.00,24.78,23.75,24.65,266.63,270.79,266.02,269.12,235.11,237.98,234.35,237.19,97.29,99.10,97.08,98.84
27-Mar-17,193,26.71,27.45,26.71,27.33,174.37,176.44,173.75,176.1,23.30,24.35,23.0,24.15,265.65,267.88,264.04,267.16,235.78,236.37,233.2,235.83,96.55,97.93,95.89,97.48
24-Mar-17,194,28.00,28.28,27.08,27.32,176.85,177.53,174.77,175.82,24.25,24.50,23.6,23.8,269.83,269.98,266.72,267.42,239.25,239.83,236.59,236.88,98.98,99.44,97.4,97.76
23-Mar-17,195,27.67,28.48,27.67,27.96,177.34,177.85,176.59,177.26,23.85,24.30,23.5,24.1,269.42,271.47,268.98,269.5,241.00,241.38,239.13,239.5,99.54,99.94,98.79,98.92
22-Mar-17,196,28.52,28.81,27.48,27.75,175.96,177.10,175.50,176.98,24.40,24.45,23.8,23.85,268.83,270.28,267.91,269.42,239.73,242.00,239.1,241.14,99.16,99.62,98.71,99.54
21-Mar-17,197,30.18,30.18,28.6,28.64,179.99,180.25,175.50,175.96,25.60,25.60,24.3,24.45,272.35,273.02,268.36,269.0,243.70,243.70,239.35,239.72,100.81,101.48,98.63,99.28
20-Mar-17,198,30.65,30.89,29.74,29.97,180.10,180.15,179.14,179.39,25.40,25.80,25.15,25.45,272.16,274.57,271.62,272.03,244.77,245.46,242.69,242.99,102.02,102.36,100.53,100.69
17-Mar-17,199,30.18,31.15,29.88,31.03,178.31,180.38,178.17,180.1,25.10,25.45,25.0,25.4,268.78,272.18,268.30,271.98,241.12,244.70,240.69,244.25,101.20,102.72,101.14,102.11
16-Mar-17,200,30.21,30.65,30.18,30.42,179.82,180.00,177.64,178.19,24.80,25.25,24.5,25.0,270.68,270.68,267.13,267.94,244.00,244.13,239.72,240.28,102.52,102.52,101.08,101.19
15-Mar-17,201,29.94,30.35,29.84,30.12,179.00,179.24,177.97,178.71,24.25,24.95,24.1,24.65,268.00,269.87,267.75,269.44,243.80,244.45,243.13,243.84,100.07,102.07,100.07,101.46
14-Mar-17,202,29.57,29.86,29.18,29.83,178.54,179.69,177.71,178.73,24.05,24.35,23.6,24.1,268.93,269.15,267.38,268.0,243.52,244.37,242.75,243.77,99.47,100.15,99.26,100.06
13-Mar-17,203,29.04,30.21,29.04,30.12,177.16,179.19,177.07,179.05,24.35,24.90,24.3,24.5,268.51,269.26,268.00,269.19,243.54,244.73,242.76,244.42,99.50,99.80,98.92,99.74
10-Mar-17,204,28.54,29.36,28.5,28.87,181.90,181.97,177.92,178.7,25.20,25.20,24.32,24.35,269.90,269.9,267.27,268.66,244.56,244.83,242.45,243.59,99.43,99.98,98.25,99.47
9-Mar-17,205,28.87,30.46,28.35,28.44,181.43,182.59,179.58,180.57,25.55,25.75,24.55,24.9,268.00,269.0,267.54,268.68,244.08,244.74,243.52,244.12,98.90,99.98,97.62,99.34
8-Mar-17,206,30.77,30.77,30.1,30.46,182.40,182.69,181.49,181.74,26.35,26.35,25.5,25.55,269.00,269.04,267.31,267.72,244.00,245.08,243.06,243.57,93.80,97.77,93.75,96.82
7-Mar-17,207,30.74,30.84,30.24,30.5,180.64,182.84,180.62,182.02,26.45,26.69,25.95,26.2,267.31,269.38,267.30,269.04,242.51,243.92,242.07,243.78,94.05,95.14,93.03,94.56
